Raumordnungsregion,N,Extraversion,Verträglichkeit,Neurotizismus,Offenheit,Gewissenhaftigkeit
Aachen,1167,"               3,41 ","               3,47 ","               2,98 ","               3,74 ","               3,53 "
Allgäu,236,"               3,37 ","               3,48 ","               3,04 ","               3,79 ","               3,53 "
Altmark,96,"               3,32 ","               3,50 ","               3,07 ","               3,64 ","               3,61 "
Anhalt-Bitterfeld-Wittenberg,204,"               3,12 ","               3,40 ","               3,00 ","               3,56 ","               3,52 "
Arnsberg,368,"               3,40 ","               3,42 ","               3,01 ","               3,62 ","               3,58 "
Augsburg,576,"               3,44 ","               3,47 ","               2,97 ","               3,76 ","               3,54 "
Bayerischer Untermain,309,"               3,55 ","               3,39 ","               2,99 ","               3,75 ","               3,56 "
Berlin,5558,"               3,42 ","               3,46 ","               3,04 ","               3,87 ","               3,46 "
Bielefeld,1388,"               3,41 ","               3,42 ","               3,06 ","               3,72 ","               3,46 "
Bochum/Hagen,1354,"               3,42 ","               3,41 ","               3,06 ","               3,72 ","               3,44 "
Bodensee-Oberschwaben,422,"               3,44 ","               3,50 ","               3,00 ","               3,80 ","               3,61 "
Bonn,1014,"               3,44 ","               3,47 ","               3,00 ","               3,82 ","               3,50 "
Braunschweig,855,"               3,37 ","               3,46 ","               3,05 ","               3,71 ","               3,54 "
Bremen,1221,"               3,45 ","               3,47 ","               3,00 ","               3,69 ","               3,53 "
Bremerhaven,172,"               3,20 ","               3,38 ","               3,13 ","               3,61 ","               3,36 "
Donau-Iller (BW),377,"               3,32 ","               3,49 ","               2,96 ","               3,74 ","               3,55 "
Donau-Iller (BY),237,"               3,34 ","               3,44 ","               3,04 ","               3,71 ","               3,56 "
Donau-Wald,329,"               3,43 ","               3,42 ","               3,03 ","               3,65 ","               3,42 "
Dortmund,1001,"               3,40 ","               3,45 ","               3,09 ","               3,72 ","               3,54 "
Düsseldorf,2684,"               3,47 ","               3,45 ","               2,99 ","               3,79 ","               3,57 "
Duisburg/Essen,1959,"               3,39 ","               3,45 ","               3,04 ","               3,72 ","               3,50 "
Emscher-Lippe,691,"               3,43 ","               3,46 ","               3,08 ","               3,65 ","               3,56 "
Emsland,214,"               3,43 ","               3,52 ","               3,06 ","               3,58 ","               3,53 "
Franken,575,"               3,44 ","               3,49 ","               2,92 ","               3,75 ","               3,59 "
Göttingen,578,"               3,40 ","               3,48 ","               3,06 ","               3,82 ","               3,51 "
Halle/S.,564,"               3,39 ","               3,45 ","               3,14 ","               3,74 ","               3,51 "
Hamburg,3483,"               3,49 ","               3,47 ","               2,94 ","               3,83 ","               3,56 "
Hannover,1622,"               3,41 ","               3,46 ","               2,95 ","               3,70 ","               3,58 "
Havelland-Fläming,571,"               3,43 ","               3,48 ","               2,97 ","               3,70 ","               3,58 "
Hildesheim,328,"               3,42 ","               3,48 ","               3,04 ","               3,77 ","               3,55 "
Hochrhein-Bodensee,715,"               3,42 ","               3,52 ","               2,92 ","               3,73 ","               3,59 "
Industrieregion Mittelfranken,1473,"               3,42 ","               3,44 ","               3,04 ","               3,78 ","               3,53 "
Ingolstadt,265,"               3,38 ","               3,52 ","               3,02 ","               3,75 ","               3,59 "
Köln,2439,"               3,47 ","               3,46 ","               3,01 ","               3,81 ","               3,53 "
Landshut,202,"               3,45 ","               3,48 ","               3,09 ","               3,72 ","               3,61 "
Lausitz-Spreewald,346,"               3,35 ","               3,46 ","               3,04 ","               3,68 ","               3,60 "
Lüneburg,288,"               3,46 ","               3,48 ","               3,01 ","               3,73 ","               3,53 "
Magdeburg,887,"               3,43 ","               3,49 ","               2,95 ","               3,68 ","               3,61 "
Main-Rhön,213,"               3,39 ","               3,46 ","               3,05 ","               3,71 ","               3,60 "
Mecklenburgische Seenplatte,119,"               3,22 ","               3,46 ","               3,12 ","               3,63 ","               3,66 "
Mittelhessen,1007,"               3,35 ","               3,43 ","               3,08 ","               3,76 ","               3,41 "
Mittelrhein-Westerwald,883,"               3,35 ","               3,45 ","               3,00 ","               3,68 ","               3,51 "
Mittelthüringen,794,"               3,35 ","               3,47 ","               3,04 ","               3,74 ","               3,50 "
Mittlerer Oberrhein,956,"               3,44 ","               3,50 ","               2,96 ","               3,82 ","               3,53 "
Mittleres Mecklenburg/Rostock,382,"               3,36 ","               3,45 ","               2,96 ","               3,66 ","               3,55 "
München,3269,"               3,49 ","               3,47 ","               2,96 ","               3,82 ","               3,57 "
Münster,1420,"               3,39 ","               3,47 ","               3,06 ","               3,69 ","               3,47 "
Neckar-Alb,649,"               3,31 ","               3,49 ","               3,02 ","               3,77 ","               3,48 "
Nordhessen,656,"               3,40 ","               3,46 ","               3,01 ","               3,75 ","               3,50 "
Nordschwarzwald,393,"               3,37 ","               3,46 ","               3,00 ","               3,71 ","               3,61 "
Nordthüringen,234,"               3,41 ","               3,48 ","               3,08 ","               3,61 ","               3,67 "
Oberes Elbtal/Osterzgebirge,1275,"               3,40 ","               3,47 ","               3,03 ","               3,80 ","               3,46 "
Oberfranken-Ost,327,"               3,28 ","               3,40 ","               3,08 ","               3,68 ","               3,48 "
Oberfranken-West,472,"               3,42 ","               3,46 ","               3,10 ","               3,73 ","               3,46 "
Oberland,219,"               3,50 ","               3,53 ","               2,86 ","               3,69 ","               3,55 "
Oberlausitz-Niederschlesien,411,"               3,39 ","               3,59 ","               2,95 ","               3,64 ","               3,67 "
Oberpfalz-Nord,211,"               3,32 ","               3,48 ","               3,09 ","               3,69 ","               3,46 "
Oderland-Spree,215,"               3,34 ","               3,46 ","               3,02 ","               3,71 ","               3,63 "
Oldenburg,480,"               3,43 ","               3,47 ","               3,00 ","               3,72 ","               3,57 "
Osnabrück,755,"               3,43 ","               3,49 ","               3,01 ","               3,67 ","               3,53 "
Ost-Friesland,313,"               3,34 ","               3,38 ","               3,01 ","               3,72 ","               3,54 "
Osthessen,208,"               3,48 ","               3,41 ","               3,04 ","               3,70 ","               3,57 "
Ostthüringen,831,"               3,39 ","               3,42 ","               3,06 ","               3,75 ","               3,45 "
Ostwürttemberg,319,"               3,45 ","               3,53 ","               2,92 ","               3,76 ","               3,56 "
Paderborn,391,"               3,47 ","               3,42 ","               3,08 ","               3,74 ","               3,47 "
Prignitz-Oberhavel,198,"               3,35 ","               3,38 ","               3,02 ","               3,53 ","               3,68 "
Regensburg,533,"               3,45 ","               3,48 ","               2,97 ","               3,76 ","               3,52 "
Rheinhessen-Nahe,855,"               3,40 ","               3,50 ","               2,99 ","               3,80 ","               3,48 "
Rhein-Main,2930,"               3,45 ","               3,48 ","               2,93 ","               3,77 ","               3,57 "
Rheinpfalz,721,"               3,42 ","               3,45 ","               3,02 ","               3,69 ","               3,60 "
Saar,897,"               3,36 ","               3,43 ","               3,07 ","               3,77 ","               3,49 "
Schleswig-Holstein Mitte,703,"               3,37 ","               3,41 ","               3,07 ","               3,78 ","               3,44 "
Schleswig-Holstein Nord,242,"               3,27 ","               3,46 ","               2,99 ","               3,63 ","               3,62 "
Schleswig-Holstein Ost,290,"               3,28 ","               3,42 ","               3,07 ","               3,79 ","               3,52 "
Schleswig-Holstein Süd-West,138,"               3,15 ","               3,48 ","               3,13 ","               3,69 ","               3,47 "
Schwarzwald-Baar-Heuberg,285,"               3,39 ","               3,50 ","               2,99 ","               3,70 ","               3,61 "
Südheide,166,"               3,22 ","               3,32 ","               3,13 ","               3,58 ","               3,50 "
Südlicher Oberrhein,925,"               3,45 ","               3,53 ","               3,00 ","               3,81 ","               3,56 "
Südostoberbayern,423,"               3,38 ","               3,50 ","               3,00 ","               3,75 ","               3,59 "
Südsachsen,1050,"               3,40 ","               3,43 ","               3,00 ","               3,68 ","               3,55 "
Südthüringen,264,"               3,30 ","               3,46 ","               3,15 ","               3,75 ","               3,48 "
Siegen,327,"               3,44 ","               3,45 ","               3,01 ","               3,71 ","               3,57 "
Starkenburg,1023,"               3,45 ","               3,48 ","               2,99 ","               3,75 ","               3,55 "
Stuttgart,2579,"               3,46 ","               3,50 ","               2,91 ","               3,75 ","               3,59 "
Trier,520,"               3,39 ","               3,43 ","               3,00 ","               3,79 ","               3,45 "
Uckermark-Barnim,139,"               3,29 ","               3,49 ","               3,16 ","               3,61 ","               3,55 "
Unterer Neckar,1381,"               3,43 ","               3,48 ","               3,01 ","               3,76 ","               3,53 "
Vorpommern,326,"               3,25 ","               3,39 ","               3,06 ","               3,72 ","               3,48 "
Westmecklenburg,260,"               3,32 ","               3,43 ","               3,00 ","               3,74 ","               3,56 "
Westmittelfranken,195,"               3,41 ","               3,46 ","               2,97 ","               3,70 ","               3,50 "
Westpfalz,402,"               3,46 ","               3,39 ","               2,97 ","               3,68 ","               3,58 "
Westsachsen,1235,"               3,37 ","               3,46 ","               3,08 ","               3,83 ","               3,43 "
Würzburg,579,"               3,35 ","               3,51 ","               3,02 ","               3,74 ","               3,55 "
